song_id,name,difficulty,play_date_raw,play_date,played,easy_date_raw,easy_date,ec,hard_date_raw,hard_date,hc,exh_date_raw,exh_date,exh
61,era (nostalmix),HYPER,1,1,0,2023/10/17,2023/10/17,1,,,0,,,0
62,era (nostalmix),ANOTHER,2023/01/21,2023/01/21,0,2025/03/22,2025/03/22,1,,,0,,,0
65,Holic,ANOTHER,2025/11/22,2025/11/22,0,,,0,,,0,,,0
108,DXY!,HYPER,2023/06/06,2023/06/06,0,2025/07/13,2025/07/13,1,,,0,,,0
109,DXY!,ANOTHER,,,-1,,,-1,,,-1,,,-1
114,era (step mix),ANOTHER,2025/03/22,2025/03/22,0,2025/03/23,2025/03/23,1,,,0,,,0
132,minimalian,ANOTHER,,,-1,,,-1,,,-1,,,-1
140,starmine,ANOTHER,2023/04/19,2023/04/19,0,2023/11/26,2023/11/26,1,,,0,,,0
143,SWEET LAB,ANOTHER,2023/06/27,2023/06/27,0,2023/10/16,2023/10/16,1,,,0,,,0
163,QQQ,HYPER,2024/01/10,2024/01/10,0,2024/01/14,2024/01/14,1,,,0,,,0
210,Colors (radio edit),ANOTHER,1,1,0,2022/09/24,2022/09/24,1,,,0,,,0
224,G2,ANOTHER,2024/07/14,2024/07/14,0,2025/04/26,2025/04/26,1,,,0,,,0
230,NEMESIS,ANOTHER,,,-1,,,-1,,,-1,,,-1
235,route 80s,ANOTHER,2023/01/07,2023/01/07,0,2023/08/24,2023/08/24,1,,,0,,,0
240,Summer Vacation(CU mix),HYPER,2024/07/03,2024/07/03,0,2024/07/03,2024/07/03,1,,,0,,,0
250,A,ANOTHER,2025/11/23,2025/11/23,0,,,0,,,0,,,0
261,Cheer Train,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
288,Spica,ANOTHER,1,1,0,2023/06/06,2023/06/06,1,,,0,,,0
291,stoic,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
302,革命,HYPER,1,1,0,2023/07/17,2023/07/17,1,,,0,,,0
303,革命,ANOTHER,2024/05/06,2024/05/06,0,2024/08/17,2024/08/17,1,,,0,,,0
352,murmur twins,ANOTHER,2023/01/03,2023/01/03,0,2024/03/09,2024/03/09,1,,,0,,,0
381,桜,ANOTHER,2023/06/27,2023/06/27,0,2023/11/12,2023/11/12,1,,,0,,,0
418,Karma,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
430,lower world,ANOTHER,2023/04/15,2023/04/15,0,2024/02/03,2024/02/03,1,,,0,,,0
439,moon_child,ANOTHER,,,-1,,,-1,,,-1,,,-1
448,quasar,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
456,RISLIM -Remix-,ANOTHER,2024/09/02,2024/09/02,0,,,0,,,0,,,0
481,1st Samurai,ANOTHER,2023/03/27,2023/03/27,0,2024/12/09,2024/12/09,1,,,0,,,0
524,GHOST REVIVAL,ANOTHER,2023/01/07,2023/01/07,0,2023/09/01,2023/09/01,1,,,0,,,0
533,Innocent Walls,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
536,Love Is Eternity,ANOTHER,,,-1,2025/07/27,2025/07/27,1,,,0,,,0
547,No.13,ANOTHER,1,1,0,2024/12/22,2024/12/22,1,,,0,,,0
550,One More Lovely,ANOTHER,,,-1,,,-1,,,-1,,,-1
573,雪月花,ANOTHER,2023/11/30,2023/11/30,0,2024/07/23,2024/07/23,1,,,0,,,0
576,AA,ANOTHER,2023/08/27,2023/08/27,0,2025/03/08,2025/03/08,1,,,0,,,0
591,BLOCKS,ANOTHER,2023/04/15,2023/04/15,0,2025/03/03,2025/03/03,1,,,0,,,0
610,FAKE TIME,HYPER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
611,FAKE TIME,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
615,GENOCIDE,HYPER,2023/06/22,2023/06/22,0,2025/7/12,2025/7/12,1,,,0,,,0
616,GENOCIDE,ANOTHER,,,-1,,,-1,,,-1,,,-1
618,gigadelic,HYPER,2023/04/19,2023/04/19,0,2023/12/15,2023/12/15,1,,,0,,,0
619,gigadelic,ANOTHER,2023/06/27,2023/06/27,0,2024/10/12,2024/10/12,1,,,0,,,0
646,Sphere,ANOTHER,2023/06/23,2023/06/23,0,,,0,2024/12/02,2024/12/02,1,,,0
660,ピアノ協奏曲第１番”蠍火”,ANOTHER,,,-1,,,-1,,,-1,,,-1
696,garden,ANOTHER,1,1,0,2024/05/25,2024/05/25,1,,,0,,,0
709,INAZUMA,ANOTHER,2024/02/21,2024/02/21,0,,,0,,,0,,,0
736,SCREAM SQUAD,ANOTHER,2023/01/03,2023/01/03,0,2023/04/26,2023/04/26,1,,,0,,,0
785,冥,ANOTHER,,,-1,,,-1,,,-1,,,-1
805,Concertino in Blue,ANOTHER,2023/01/07,2023/01/07,0,2023/08/18,2023/08/18,1,,,0,,,0
808,CONTRACT,ANOTHER,1,1,0,,,0,,,0,,,0
823,Ganymede,ANOTHER,2023/01/03,2023/01/03,0,2023/01/03,2023/01/03,1,,,0,,,0
840,MINT,ANOTHER,1,1,0,2023/09/09,2023/09/09,1,,,0,,,0
861,tripping contact(teranoid&MC Natsack Remix),ANOTHER,2023/11/05,2023/11/05,0,2024/11/03,2024/11/03,1,,,0,,,0
881,カゴノトリ～弐式～,ANOTHER,,,-1,,,-1,,,-1,,,-1
887,華蝶風雪,ANOTHER,2023/06/01,2023/06/01,0,2023/11/03,2023/11/03,1,,,0,,,0
890,嘆きの樹,ANOTHER,,,-1,,,-1,,,-1,,,-1
906,Candy Galy,ANOTHER,1,1,0,2023/04/19,2023/04/19,1,2024/10/24,2024/10/24,1,,,0
921,Fascination MAXX,ANOTHER,1,1,0,2023/02/04,2023/02/04,1,,,0,,,0
941,INORI,ANOTHER,2023/06/02,2023/06/02,0,2023/09/23,2023/09/23,1,,,0,,,0
944,KAMAITACHI,ANOTHER,2023/03/27,2023/03/27,0,2023/06/24,2023/06/24,1,,,0,,,0
945,KAMAITACHI,LEGGENDARIA,,,-1,,,-1,,,-1,,,-1
948,LASER CRUSTER,ANOTHER,2025/02/16,2025/02/16,0,,,0,,,0,,,0
968,Sense 2007,HYPER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
969,Sense 2007,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
972,smile,ANOTHER,2023/01/03,2023/01/03,0,2023/05/25,2023/05/25,1,,,0,,,0
975,snow storm,ANOTHER,1,1,0,2023/03/27,2023/03/27,1,,,0,,,0
984,TRANOID,ANOTHER,2024/01/13,2024/01/13,0,2025/03/23,2025/03/23,1,,,0,,,0
987,VANESSA,ANOTHER,,,-1,,,-1,,,-1,,,-1
988,VANESSA,LEGGENDARIA,,,-1,,,-1,,,-1,,,-1
1013,電人、暁に斃れる。,ANOTHER,2024/12/26,2024/12/26,0,,,0,,,0,,,0
1022,"Anisakis -somatic mutation type""Forza""-",ANOTHER,1,1,0,2023/01/15,2023/01/15,1,2025/11/15,2025/11/15,1,,,0
1028,Be OK,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
1045,Do it!! Do it!!,ANOTHER,2023/06/27,2023/06/27,0,2024/07/08,2024/07/08,1,,,0,,,0
1054,four pieces of heaven,ANOTHER,2025/11/15,2025/11/15,0,,,0,,,0,,,0
1060,ICARUS,ANOTHER,2023/08/27,2023/08/27,0,2024/05/14,2024/05/14,1,,,0,,,0
1061,ICARUS,LEGGENDARIA,,,-1,,,-1,,,-1,,,-1
1076,MENDES,ANOTHER,,,-1,,,-1,,,-1,,,-1
1085,oratio,ANOTHER,1,1,0,2022/10/07,2022/10/07,1,,,0,,,0
1088,PARANOiA ～HADES～,ANOTHER,,,-1,,,-1,,,-1,,,-1
1100,"satellite020712 from ""CODED ARMS""",ANOTHER,2023/06/23,2023/06/23,0,2025/7/12,2025/7/12,1,,,0,,,0
1127,TROOPERS,ANOTHER,2023/01/07,2023/01/07,0,2023/06/19,2023/06/19,1,2025/05/05,2025/05/05,1,,,0
1142,ミラージュ・レジデンス,ANOTHER,2023/04/19,2023/04/19,0,2024/08/11,2024/08/11,1,,,0,,,0
1151,少年A,ANOTHER,2025/11/22,2025/11/22,0,,,0,,,0,,,0
1156,3y3s,ANOTHER,2023/01/03,2023/01/03,0,2023/10/22,2023/10/22,1,,,0,,,0
1183,Colorful Cookie,ANOTHER,2023/06/02,2023/06/02,0,,,0,,,0,,,0
1195,Go Beyond!!,ANOTHER,1,1,0,2023/06/11,2023/06/11,1,,,0,,,0
1264,ミッドナイト堕天使,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
1276,卑弥呼,ANOTHER,,,-1,,,-1,,,-1,,,-1
1291,Almagest,ANOTHER,,,-1,,,-1,,,-1,,,-1
1297,Bad Maniacs,ANOTHER,,,-1,,,-1,,,-1,,,-1
1333,DOMINION,ANOTHER,2023/06/02,2023/06/02,0,2024/02/17,2024/02/17,1,,,0,,,0
1345,eRAseRmOToRpHAntOM,ANOTHER,2024/01/13,2024/01/13,0,2024/09/14,2024/09/14,1,,,0,,,0
1348,Evans,ANOTHER,2022/12/31,2022/12/31,0,2023/10/30,2023/10/30,1,,,0,,,0
1351,EXUSIA,ANOTHER,2023/11/30,2023/11/30,0,,,0,,,0,,,0
1354,G59,ANOTHER,2025/05/11,2025/05/11,0,,,0,,,0,,,0
1357,GALGALIM,ANOTHER,2023/04/15,2023/04/15,0,2023/04/24,2023/04/24,1,,,0,,,0
1360,GOLDEN CROSS,ANOTHER,#N/A,,-1,#N/A,,-1,#N/A,,-1,#N/A,,-1
