song_id,difficulty
61_ec,1.9
61_hc,7.0
61_exh,11.2
62_ec,4.0
62_hc,8.8
62_exh,12.7
65_ec,6.5
65_hc,10.2
65_exh,13.6
108_ec,3.2
108_hc,8.4
108_exh,12.5
109_ec,8.3
109_hc,11.8
109_exh,13.9
114_ec,4.0
114_hc,8.9
114_exh,12.7
132_ec,7.8
132_hc,9.8
132_exh,12.0
140_ec,2.3
140_hc,6.5
140_exh,10.7
143_ec,3.9
143_hc,8.2
143_exh,12.5
163_ec,2.7
163_hc,6.6
163_exh,10.6
210_ec,0.9
210_hc,5.8
210_exh,10.2
224_ec,5.2
224_hc,7.8
224_exh,12.0
230_ec,10.4
230_hc,13.3
230_exh,14.0
235_ec,2.4
235_hc,8.1
235_exh,11.8
240_ec,1.3
240_hc,6.9
240_exh,11.5
250_ec,6.5
250_hc,8.9
250_exh,11.7
261_ec,7.4
261_hc,11.2
261_exh,13.8
288_ec,1.2
288_hc,7.2
288_exh,11.4
291_ec,1.7
291_hc,7.3
291_exh,11.3
302_ec,2.8
302_hc,6.6
302_exh,10.2
303_ec,5.1
303_hc,8.4
303_exh,11.8
352_ec,1.3
352_hc,5.6
352_exh,9.8
381_ec,3.2
381_hc,7.9
381_exh,12.2
418_ec,6.4
418_hc,8.3
418_exh,11.3
430_ec,2.2
430_hc,5.7
430_exh,9.5
439_ec,7.3
439_hc,10.5
439_exh,13.1
448_ec,10.0
448_hc,11.8
448_exh,13.7
456_ec,6.0
456_hc,8.0
456_exh,11.5
481_ec,3.1
481_hc,7.6
481_exh,11.0
524_ec,1.4
524_hc,6.9
524_exh,11.2
533_ec,4.6
533_hc,7.9
533_exh,12.0
536_ec,4.5
536_hc,5.8
536_exh,9.2
547_ec,3.7
547_hc,7.6
547_exh,10.8
550_ec,7.3
550_hc,9.6
550_exh,12.6
573_ec,4.4
573_hc,7.0
573_exh,11.0
576_ec,4.3
576_hc,7.4
576_exh,10.4
591_ec,1.7
591_hc,6.0
591_exh,10.1
610_ec,1.3
610_hc,2.4
610_exh,8.3
611_ec,4.2
611_hc,6.9
611_exh,11.3
615_ec,5.3
615_hc,9.5
615_exh,12.5
616_ec,8.1
616_hc,10.9
616_exh,13.5
618_ec,2.3
618_hc,6.0
618_exh,10.3
619_ec,4.0
619_hc,5.7
619_exh,9.6
646_ec,3.8
646_hc,3.7
646_exh,10.3
660_ec,9.3
660_hc,11.8
660_exh,13.9
696_ec,3.6
696_hc,7.5
696_exh,11.2
709_ec,5.2
709_hc,8.7
709_exh,11.8
736_ec,1.4
736_hc,6.8
736_exh,11.5
785_ec,7.9
785_hc,13.6
785_exh,14.3
805_ec,1.4
805_hc,6.9
805_exh,11.0
808_ec,4.2
808_hc,7.5
808_exh,10.7
823_ec,1.1
823_hc,6.0
823_exh,10.1
840_ec,1.1
840_hc,5.1
840_exh,8.6
861_ec,3.8
861_hc,7.9
861_exh,11.2
881_ec,7.1
881_hc,10.1
881_exh,12.7
887_ec,2.4
887_hc,5.5
887_exh,9.7
890_ec,8.4
890_hc,10.8
890_exh,13.0
906_ec,1.2
906_hc,3.8
906_exh,8.4
921_ec,2.0
921_hc,7.4
921_exh,10.9
941_ec,2.8
941_hc,7.2
941_exh,10.7
944_ec,1.6
944_hc,6.4
944_exh,10.4
945_ec,10.7
945_hc,11.5
945_exh,13.5
948_ec,5.9
948_hc,8.0
948_exh,10.7
968_ec,1.3
968_hc,4.2
968_exh,9.4
969_ec,3.5
969_hc,7.2
969_exh,10.9
972_ec,1.0
972_hc,6.0
972_exh,10.4
975_ec,1.1
975_hc,6.2
975_exh,9.9
984_ec,4.0
984_hc,10.0
984_exh,13.0
987_ec,6.9
987_hc,10.0
987_exh,12.8
988_ec,9.6
988_hc,11.3
988_exh,13.2
1013_ec,5.2
1013_hc,8.5
1013_exh,12.0
1022_ec,1.0
1022_hc,5.5
1022_exh,9.6
1028_ec,1.4
1028_hc,6.1
1028_exh,9.8
1045_ec,3.4
1045_hc,7.6
1045_exh,11.0
1054_ec,6.3
1054_hc,9.6
1054_exh,12.3
1060_ec,4.1
1060_hc,8.5
1060_exh,11.7
1061_ec,10.7
1061_hc,13.6
1061_exh,14.3
1076_ec,9.7
1076_hc,11.5
1076_exh,13.6
1085_ec,1.0
1085_hc,5.5
1085_exh,10.4
1088_ec,9.9
1088_hc,12.0
1088_exh,13.7
1100_ec,3.8
1100_hc,7.0
1100_exh,10.2
1127_ec,1.5
1127_hc,5.5
1127_exh,9.3
1142_ec,2.2
1142_hc,6.2
1142_exh,9.6
1151_ec,6.5
1151_hc,9.6
1151_exh,12.6
1156_ec,1.0
1156_hc,6.4
1156_exh,9.8
1183_ec,2.7
1183_hc,6.0
1183_exh,9.3
1195_ec,1.1
1195_hc,11.4
1195_exh,13.5
1264_ec,1.7
1264_hc,4.7
1264_exh,8.4
1276_ec,10.2
1276_hc,12.6
1276_exh,14.0
1291_ec,10.8
1291_hc,13.3
1291_exh,14.1
1297_ec,9.3
1297_hc,11.2
1297_exh,13.2
1333_ec,2.7
1333_hc,7.0
1333_exh,10.6
1345_ec,5.4
1345_hc,8.3
1345_exh,11.8
1348_ec,1.5
1348_hc,5.3
1348_exh,8.8
1351_ec,5.5
1351_hc,7.5
1351_exh,10.5
1354_ec,5.8
1354_hc,9.0
1354_exh,12.0
1357_ec,1.7
1357_hc,6.2
1357_exh,10.5
1360_ec,1.8
1360_hc,6.5
1360_exh,9.6
1393_ec,12.3
1393_hc,13.3
1393_exh,14.2
1396_ec,5.9
1396_hc,8.5
1396_exh,11.4
1399_ec,0.9
1399_hc,3.1
1399_exh,8.1
1411_ec,6.5
1411_hc,8.4
1411_exh,11.2
1412_ec,9.5
1412_hc,10.9
1412_exh,13.0
1442_ec,7.8
1442_hc,10.6
1442_exh,13.5
1475_ec,1.0
1475_hc,4.8
1475_exh,8.3
1481_ec,4.9
1481_hc,8.1
1481_exh,11.3
1515_ec,0.8
1515_hc,4.1
1515_exh,8.2
1536_ec,9.6
1536_hc,10.6
1536_exh,13.1
1542_ec,10.7
1542_hc,12.0
1542_exh,13.7
1551_ec,7.5
1551_hc,10.4
1551_exh,13.1
1557_ec,3.4
1557_hc,7.3
1557_exh,10.9
1563_ec,1.4
1563_hc,5.7
1563_exh,9.6
1566_ec,1.4
1566_hc,6.9
1566_exh,10.5
1572_ec,1.4
1572_hc,5.6
